"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 2"
"04/01/2018 09:18:06:208 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","2","10","150","2","57","38.23529411764706","47.45945945945946","51.21052631578947","92454.5","308","11","1","7","3"
"2","2","10","150","2.5","61","39.27777777777778","50.5","55.107142857142854","92488.5","324","11","1","7","3"
"3","2","10","150","3","56","38.23529411764706","46.689189189189186","50.21052631578947","92441.5","306","11","1","7","3"
"2","2","10","150","2.5","62","39.27777777777778","51.25675675675676","56.107142857142854","92497","324","11","1","7","3"
"1","2","10","150","2","58","39.27777777777778","48.229729729729726","52.107142857142854","92463","308","11","1","7","3"
"3","2","10","150","3","57","38.23529411764706","47.45945945945946","51.21052631578947","92450","306","11","1","7","3"
"1","2","10","150","2","59","39.27777777777778","48.986486486486484","53.107142857142854","92471.5","308","11","1","7","3"
"2","2","10","150","2.5","63","40.8","52.013513513513516","57.166666666666664","92505.5","330","11","1","7","3"
"3","2","10","150","3","58","39.27777777777778","48.229729729729726","52.107142857142854","92458.5","306","11","1","7","3"
"2","2","10","150","2.5","64","41.857142857142854","52.74324324324324","58.056603773584904","92514","330","11","1","7","3"
"1","2","10","150","2","60","39.27777777777778","49.74324324324324","54.107142857142854","92480","323","11","1","7","3"
"3","2","10","150","3","59","39.27777777777778","48.986486486486484","53.107142857142854","92467","306","11","1","7","3"
"2","2","10","150","2.5","65","41.857142857142854","53.45945945945946","59.056603773584904","92522.5","330","11","1","7","3"
"1","2","10","150","2","61","39.27777777777778","50.5","55.107142857142854","92488.5","333","11","1","7","3"
"3","2","10","150","3","60","39.27777777777778","49.74324324324324","54.107142857142854","92475.5","321","11","1","7","3"
"2","2","10","150","2.5","66","41.857142857142854","54.17567567567568","60.056603773584904","92531","330","11","1","7","3"
"1","2","10","150","2","62","39.27777777777778","51.25675675675676","56.107142857142854","92497","333","11","1","7","3"
"2","2","10","150","2.5","67","41.857142857142854","54.891891891891895","61.056603773584904","92539.5","330","11","1","7","3"
"3","2","10","150","3","61","39.27777777777778","50.5","55.107142857142854","92484","331","11","1","7","3"
"1","2","10","150","2","63","40.8","52.013513513513516","57.166666666666664","92505.5","338","11","1","7","3"
"2","2","10","150","2.5","68","41.857142857142854","55.608108108108105","62.056603773584904","92548","330","11","1","7","3"
"3","2","10","150","3","62","39.27777777777778","51.25675675675676","56.107142857142854","92492.5","331","11","1","7","3"
"1","2","10","150","2","64","41.857142857142854","52.74324324324324","58.056603773584904","92514","339","11","1","7","3"
"2","2","10","150","2.5","69","41.857142857142854","56.32432432432432","63.056603773584904","92556.5","330","11","1","7","3"
"3","2","10","150","3","63","40.8","52.013513513513516","57.166666666666664","92501","336","11","1","7","3"
"1","2","10","150","2","65","41.857142857142854","53.45945945945946","59.056603773584904","92522.5","339","11","1","7","3"
"2","2","10","150","2.5","70","44","57.04054054054054","64.3","92565","365","11","1","7","3"
"3","2","10","150","3","64","41.857142857142854","52.74324324324324","58.056603773584904","92509.5","337","11","1","7","3"
"1","2","10","150","2","66","41.857142857142854","54.17567567567568","60.056603773584904","92531","339","11","1","7","3"
"2","2","10","150","2.5","71","45.42307692307692","57.71621621621622","65.375","92573.5","365","11","1","7","3"
"3","2","10","150","3","65","41.857142857142854","53.45945945945946","59.056603773584904","92518","337","11","1","7","3"
"1","2","10","150","2","67","41.857142857142854","54.891891891891895","61.056603773584904","92539.5","339","11","1","7","3"
"2","2","10","150","2.5","72","45.42307692307692","58.36486486486486","66.375","92582","365","11","1","7","3"
"3","2","10","150","3","66","41.857142857142854","54.17567567567568","60.056603773584904","92526.5","337","11","1","7","3"
"1","2","10","150","2","68","41.857142857142854","55.608108108108105","62.056603773584904","92548","339","11","1","7","3"
"2","2","10","150","2.5","73","45.42307692307692","59.013513513513516","67.375","92590.5","372","11","1","7","3"
"3","2","10","150","3","67","41.857142857142854","54.891891891891895","61.056603773584904","92535","337","11","1","7","3"
"3","2","10","150","3","68","41.857142857142854","55.608108108108105","62.056603773584904","92543.5","337","11","1","7","3"
"1","2","10","150","2","69","41.857142857142854","56.32432432432432","63.056603773584904","92556.5","339","11","1","7","3"
"2","2","10","150","2.5","74","46.44444444444444","59.66216216216216","68.25531914893617","92599","372","11","1","7","3"
"2","2","10","150","2.5","75","46.44444444444444","60.2972972972973","69.25531914893617","92607.5","372","11","1","7","3"
"3","2","10","150","3","69","41.857142857142854","56.32432432432432","63.056603773584904","92552","337","11","1","7","3"
"1","2","10","150","2","70","44","57.04054054054054","64.3","92565","357","11","1","7","3"
"2","2","10","150","2.5","76","47.464285714285715","60.932432432432435","70.1304347826087","92616","372","11","1","7","3"
"3","2","10","150","3","70","44","57.04054054054054","64.3","92560.5","355","11","1","7","3"
"1","2","10","150","2","71","45.42307692307692","57.71621621621622","65.375","92573.5","369","11","1","7","3"
"2","2","10","150","2.5","77","47.464285714285715","61.554054054054056","71.1304347826087","92624.5","372","11","1","7","3"
"3","2","10","150","3","71","45.42307692307692","57.71621621621622","65.375","92569","367","11","1","7","3"
"1","2","10","150","2","72","45.42307692307692","58.36486486486486","66.375","92582","369","11","1","7","3"
"2","2","10","150","2.5","78","47.464285714285715","62.17567567567568","72.1304347826087","92633","372","11","1","7","3"
"3","2","10","150","3","72","45.42307692307692","58.36486486486486","66.375","92577.5","367","11","1","7","3"
"1","2","10","150","2","73","45.42307692307692","59.013513513513516","67.375","92590.5","375","11","1","7","3"
"2","2","10","150","2.5","79","47.464285714285715","62.7972972972973","73.1304347826087","92641.5","372","11","1","7","3"
"3","2","10","150","3","73","45.42307692307692","59.013513513513516","67.375","92586","373","11","1","7","3"
"2","2","10","150","2.5","80","47.464285714285715","63.41891891891892","74.1304347826087","92650","397","11","1","7","3"
"1","2","10","150","2","74","46.44444444444444","59.66216216216216","68.25531914893617","92599","376","11","1","7","3"
"2","2","10","150","2.5","81","47.464285714285715","64.04054054054055","75.1304347826087","92658.5","397","11","1","7","3"
"1","2","10","150","2","75","46.44444444444444","60.2972972972973","69.25531914893617","92607.5","376","11","1","7","3"
"3","2","10","150","3","74","46.44444444444444","59.66216216216216","68.25531914893617","92594.5","375","11","1","7","3"
"2","2","10","150","2.5","82","47.464285714285715","64.66216216216216","76.1304347826087","92667","397","11","1","7","3"
"1","2","10","150","2","76","47.464285714285715","60.932432432432435","70.1304347826087","92616","376","11","1","7","3"
"3","2","10","150","3","75","46.44444444444444","60.2972972972973","69.25531914893617","92603","375","11","1","7","3"
"2","2","10","150","2.5","83","47.464285714285715","65.28378378378379","77.1304347826087","92675.5","402","11","1","7","3"
"1","2","10","150","2","77","47.464285714285715","61.554054054054056","71.1304347826087","92624.5","376","11","1","7","3"
"3","2","10","150","3","76","47.464285714285715","60.932432432432435","70.1304347826087","92611.5","375","11","1","7","3"
"2","2","10","150","2.5","84","47.464285714285715","65.9054054054054","78.1304347826087","92684","403","11","1","7","3"
"1","2","10","150","2","78","47.464285714285715","62.17567567567568","72.1304347826087","92633","376","11","1","7","3"
"3","2","10","150","3","77","47.464285714285715","61.554054054054056","71.1304347826087","92620","375","11","1","7","3"
"2","2","10","150","2.5","85","47.464285714285715","66.52702702702703","79.1304347826087","92692.5","403","11","1","7","3"
"1","2","10","150","2","79","47.464285714285715","62.7972972972973","73.1304347826087","92641.5","376","11","1","7","3"
"3","2","10","150","3","78","47.464285714285715","62.17567567567568","72.1304347826087","92628.5","375","11","1","7","3"
"2","2","10","150","2.5","86","47.464285714285715","67.14864864864865","80.1304347826087","92701","403","11","1","7","3"
"1","2","10","150","2","80","47.464285714285715","63.41891891891892","74.1304347826087","92650","391","11","1","7","3"
"3","2","10","150","3","79","47.464285714285715","62.7972972972973","73.1304347826087","92637","375","11","1","7","3"
"2","2","10","150","2.5","87","51.193548387096776","67.77027027027027","80.72093023255815","92709.5","403","11","1","7","3"
"3","2","10","150","3","80","47.464285714285715","63.41891891891892","74.1304347826087","92645.5","390","11","1","7","3"
"1","2","10","150","2","81","47.464285714285715","64.04054054054055","75.1304347826087","92658.5","401","11","1","7","3"
"2","2","10","150","2.5","88","51.193548387096776","68.35135135135135","81.72093023255815","92718","403","11","1","7","3"
"1","2","10","150","2","82","47.464285714285715","64.66216216216216","76.1304347826087","92667","401","11","1","7","3"
"2","2","10","150","2.5","89","51.193548387096776","68.93243243243244","82.72093023255815","92726.5","403","11","1","7","3"
"3","2","10","150","3","81","48.06896551724138","64.04054054054055","75.33333333333333","92654","400","11","1","7","3"
"1","2","10","150","2","83","47.464285714285715","65.28378378378379","77.1304347826087","92675.5","406","11","1","7","3"
"2","2","10","150","2.5","90","56.108108108108105","69.51351351351352","83.91891891891892","92735","423","11","1","7","3"
"3","2","10","150","3","82","48.06896551724138","64.64864864864865","76.33333333333333","92662.5","400","11","1","7","3"
"2","2","10","150","2.5","91","56.108108108108105","70.01351351351352","84.91891891891892","92743.5","423","11","1","7","3"
"1","2","10","150","2","84","47.464285714285715","65.9054054054054","78.1304347826087","92684","407","11","1","7","3"
"3","2","10","150","3","83","48.06896551724138","65.25675675675676","77.33333333333333","92671","406","11","1","7","3"
"2","2","10","150","2.5","92","56.23684210526316","70.51351351351352","86.58333333333333","92752","423","11","1","7","3"
"1","2","10","150","2","85","47.464285714285715","66.52702702702703","79.1304347826087","92692.5","407","11","1","7","3"
"3","2","10","150","3","84","48.06896551724138","65.86486486486487","78.33333333333333","92679.5","406","11","1","7","3"
"2","2","10","150","2.5","93","56.23684210526316","71","87.58333333333333","92760.5","427","11","1","7","3"
"1","2","10","150","2","86","47.464285714285715","67.14864864864865","80.1304347826087","92701","407","11","1","7","3"
"3","2","10","150","3","85","48.06896551724138","66.47297297297297","79.33333333333333","92688","406","11","1","7","3"
"2","2","10","150","2.5","94","56.23684210526316","71.48648648648648","88.58333333333333","92769","428","11","1","7","3"
"1","2","10","150","2","87","51.193548387096776","67.77027027027027","80.72093023255815","92709.5","407","11","1","7","3"
"3","2","10","150","3","86","48.06896551724138","67.08108108108108","80.33333333333333","92696.5","406","11","1","7","3"
