"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"3","0.5","10","150","2","32","21.166666666666668","24.93243243243243","26.264705882352942","134320","564","18","5","7","6"
"2","0.5","10","150","1.5","31","19.25","24.14864864864865","25.428571428571427","128295.5","497","17","5","7","4"
"1","0.5","10","150","1","33","22.833333333333332","25.986486486486488","27.264705882352942","122319.5","426","16","6","7","3"
"3","0.5","10","150","2","33","21.166666666666668","25.85135135135135","27.264705882352942","134332.5","572","18","5","7","6"
"3","0.5","10","150","2","34","21.166666666666668","26.77027027027027","28.264705882352942","134345","572","18","5","7","6"
"1","0.5","10","150","1","34","22.833333333333332","26.905405405405407","28.264705882352942","122333","426","16","6","7","3"
"2","0.5","10","150","1.5","32","23.166666666666668","25.094594594594593","26.264705882352942","128306","529","17","4","7","6"
"3","0.5","10","150","2","35","21.166666666666668","27.68918918918919","29.264705882352942","134357.5","572","18","5","7","6"
"1","0.5","10","150","1","35","22.833333333333332","27.824324324324323","29.264705882352942","122346.5","426","16","6","7","3"
"2","0.5","10","150","1.5","33","23.166666666666668","26.013513513513512","27.264705882352942","128316.5","537","17","3","7","7"
"1","0.5","10","150","1","36","24.571428571428573","28.743243243243242","30.17910447761194","122360","426","16","6","7","3"
"3","0.5","10","150","2","36","23.142857142857142","28.60810810810811","30.17910447761194","134369","590","18","5","7","6"
"2","0.5","10","150","1.5","34","23.166666666666668","26.93243243243243","28.264705882352942","134328","571","18","3","7","7"
"1","0.5","10","150","1","37","26","29.64864864864865","31.09090909090909","122373.5","426","16","6","7","3"
"3","0.5","10","150","2","37","23.142857142857142","29.513513513513512","31.17910447761194","140380.5","643","19","4","7","7"
"2","0.5","10","150","1.5","35","23.166666666666668","27.85135135135135","29.264705882352942","134338.5","605","18","4","7","7"
"1","0.5","10","150","1","38","27.22222222222222","30.54054054054054","32","122387","426","16","6","7","3"
"3","0.5","10","150","2","38","26.22222222222222","30.41891891891892","32","140392","661","19","4","7","8"
"2","0.5","10","150","1.5","36","24.857142857142858","28.77027027027027","30.17910447761194","140350","642","19","3","7","8"
"1","0.5","10","150","1","39","26.8","31.41891891891892","33.140625","122400.5","426","16","6","7","3"
"3","0.5","10","150","2","39","25.9","31.2972972972973","33.140625","146403.5","718","20","4","7","8"
"2","0.5","10","150","1.5","37","24.857142857142858","29.675675675675677","31.17910447761194","140361.5","660","19","4","7","8"
"3","0.5","10","150","2","40","26.428571428571427","32.16216216216216","34.5","146415","758","20","4","7","9"
"1","0.5","10","150","1","40","26.866666666666667","32.28378378378378","34.66101694915254","122414","461","16","6","7","3"
"2","0.5","10","150","1.5","38","26.375","30.58108108108108","32.09090909090909","140373","660","19","4","7","8"
"1","0.5","10","150","1","41","26.866666666666667","33.08108108108108","35.66101694915254","122427.5","461","16","6","7","3"
"3","0.5","10","150","2","41","26.428571428571427","32.972972972972975","35.5","146426.5","772","20","4","7","9"
"2","0.5","10","150","1.5","39","26","31.472972972972972","33.23076923076923","146385.5","699","20","4","7","8"
"1","0.5","10","150","1","42","26.866666666666667","33.87837837837838","36.66101694915254","122441","461","16","6","7","3"
"3","0.5","10","150","2","42","26.428571428571427","33.78378378378378","36.5","152439","813","21","4","7","9"
"1","0.5","10","150","1","43","26.88235294117647","34.67567567567568","38","122454.5","468","16","6","7","3"
"2","0.5","10","150","1.5","40","26","32.351351351351354","34.23076923076923","146398","736","20","5","7","8"
"3","0.5","10","150","2","43","27.4375","34.5945945945946","37.56896551724138","152451.5","841","21","5","7","9"
"1","0.5","10","150","1","44","26.88235294117647","35.445945945945944","39","122468","469","16","6","7","3"
"3","0.5","10","150","2","44","27.4375","35.37837837837838","38.56896551724138","152464","841","21","5","7","9"
