"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 00:39:46:968 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","0.5","10","150","1.5","31","20","24.054054054054053","25.347826086956523","134306.5","547","18","4","7","6"
"1","0.5","10","150","1","30","17.25","24.47142857142857","25.90909090909091","134296","562","18","4","7","6"
"3","0.5","10","150","2","31","18","24.08108108108108","25.428571428571427","134282","593","18","3","7","8"
"2","0.5","10","150","1.5","32","21.833333333333332","24.986486486486488","26.264705882352942","134319","564","18","5","7","6"
"1","0.5","10","150","1","31","17.25","24.04054054054054","25.428571428571427","134307.5","579","18","4","7","7"
"3","0.5","10","150","2","32","20.6","25.027027027027028","26.347826086956523","134292.5","593","18","3","7","8"
"2","0.5","10","150","1.5","33","21.833333333333332","25.905405405405407","27.264705882352942","134331.5","571","18","5","7","6"
"1","0.5","10","150","1","32","20","24.986486486486488","26.347826086956523","134319","579","18","4","7","7"
"3","0.5","10","150","2","33","20.6","25.95945945945946","27.347826086956523","140304","637","19","3","7","8"
"2","0.5","10","150","1.5","34","21.833333333333332","26.824324324324323","28.264705882352942","134344","571","18","5","7","6"
"1","0.5","10","150","1","33","20","25.91891891891892","27.347826086956523","134330.5","587","18","4","7","7"
"3","0.5","10","150","2","34","20.6","26.89189189189189","28.347826086956523","140315.5","655","19","4","7","8"
"2","0.5","10","150","1.5","35","21.833333333333332","27.743243243243242","29.264705882352942","134356.5","571","18","5","7","6"
"1","0.5","10","150","1","34","20","26.85135135135135","28.347826086956523","140342","640","19","4","7","7"
"3","0.5","10","150","2","35","20.6","27.824324324324323","29.347826086956523","140327","655","19","4","7","8"
"2","0.5","10","150","1.5","36","23.714285714285715","28.66216216216216","30.17910447761194","134369","571","18","5","7","6"
"1","0.5","10","150","1","35","20","27.783783783783782","29.347826086956523","140353.5","658","19","4","7","8"
"2","0.5","10","150","1.5","37","23.714285714285715","29.56756756756757","31.17910447761194","134381.5","571","18","5","7","6"
"3","0.5","10","150","2","36","26","28.756756756756758","30.09090909090909","140338.5","655","19","4","7","8"
"1","0.5","10","150","1","36","22.5","28.716216216216218","30.264705882352942","146366","697","20","4","7","8"
"3","0.5","10","150","2","37","27.363636363636363","29.64864864864865","31.047619047619047","140350","655","19","4","7","8"
"2","0.5","10","150","1.5","38","25.375","30.472972972972972","32.09090909090909","134394","571","18","5","7","6"
"1","0.5","10","150","1","37","24.428571428571427","29.635135135135137","31.17910447761194","146378.5","716","20","5","7","8"
