"[all run data]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
,"0","10.714285714285714","11.714285714285714","104107.5","163","12","1","7","3","0","10.714285714285714","11.714285714285714","98102.5","161","12","1","7","3","0","10.714285714285714","11.714285714285714","98102.5","161","12","1","7","3","0","10.714285714285714","11.714285714285714","98102.5","161","12","1","7","3","0","10.714285714285714","11.714285714285714","98108","174","12","2","7","3"
,"0","11.714285714285714","12.714285714285714","104117.5","174","12","2","7","3","0","11.714285714285714","12.714285714285714","98112","172","12","2","7","3","0","11.714285714285714","12.714285714285714","98112","172","12","2","7","3","0","11.714285714285714","12.714285714285714","98112","172","12","2","7","3","0","11.714285714285714","12.714285714285714","98117.5","174","12","2","7","3"
,"0","12.714285714285714","13.714285714285714","104127.5","174","12","2","7","3","0","12.714285714285714","13.714285714285714","98121.5","172","12","2","7","3","0","12.714285714285714","13.714285714285714","98121.5","172","12","2","7","3","0","12.714285714285714","13.714285714285714","98121.5","172","12","2","7","3","0","12.714285714285714","13.714285714285714","98127","174","12","2","7","3"
,"0","13.714285714285714","14.714285714285714","104137.5","174","12","2","7","3","0","13.714285714285714","14.714285714285714","98131","172","12","2","7","3","0","13.714285714285714","14.714285714285714","98131","172","12","2","7","3","0","13.714285714285714","14.714285714285714","98131","172","12","2","7","3","0","13.714285714285714","14.714285714285714","98136.5","174","12","2","7","3"
,"0","14.714285714285714","15.714285714285714","104147.5","202","12","2","7","3","0","14.714285714285714","15.714285714285714","98140.5","193","12","2","7","3","0","14.714285714285714","15.714285714285714","98140.5","207","12","2","7","3","0","14.714285714285714","15.714285714285714","98140.5","193","12","2","7","3","0","14.714285714285714","15.714285714285714","98146","209","12","2","7","3"
,"0","15.714285714285714","16.714285714285715","104157.5","230","12","2","7","3","0","15.714285714285714","16.714285714285715","98150","207","12","2","7","3","0","15.714285714285714","16.714285714285715","98150","207","12","2","7","3","0","15.714285714285714","16.714285714285715","98150","207","12","2","7","3","0","15.714285714285714","16.714285714285715","98155.5","209","12","2","7","3"
,"0","16.714285714285715","17.714285714285715","104167.5","230","12","2","7","3","0","16.714285714285715","17.714285714285715","98159.5","207","12","2","7","3","0","16.714285714285715","17.714285714285715","98159.5","207","12","2","7","3","0","16.714285714285715","17.714285714285715","98159.5","207","12","2","7","3","0","16.714285714285715","17.714285714285715","98165","209","12","2","7","3"
,"0","17.714285714285715","18.714285714285715","104177.5","237","12","2","7","3","0","17.714285714285715","18.714285714285715","98169","214","12","2","7","3","0","17.714285714285715","18.714285714285715","98169","214","12","2","7","3","0","17.714285714285715","18.714285714285715","98169","214","12","2","7","3","0","17.714285714285715","18.714285714285715","98174.5","216","12","2","7","3"
,"23","18.714285714285715","19.652173913043477","104187.5","238","12","2","7","3","23","18.714285714285715","19.652173913043477","98178.5","214","12","2","7","3","23","18.714285714285715","19.652173913043477","98178.5","214","12","2","7","3","23","18.714285714285715","19.652173913043477","98178.5","214","12","2","7","3","23","18.714285714285715","19.652173913043477","98184","216","12","2","7","3"
,"23","19.7","20.652173913043477","104196","249","12","2","7","3","23","19.7","20.652173913043477","98188","214","12","2","7","3","23","19.7","20.652173913043477","98188","214","12","2","7","3","23","19.7","20.652173913043477","98188","214","12","2","7","3","23","19.7","20.652173913043477","98193.5","216","12","2","7","3"
,"23","20.685714285714287","21.652173913043477","104204.5","249","12","1","7","4","23","20.685714285714287","21.652173913043477","98197.5","214","12","2","7","3","23","20.685714285714287","21.652173913043477","98197.5","214","12","2","7","3","23","20.685714285714287","21.652173913043477","98197.5","214","12","2","7","3","23","20.685714285714287","21.652173913043477","98203","216","12","2","7","3"
